title,text,category,url
Кенийский бегун завершил марафон на четвереньках,"Кенийский бегун Реубен Сива завершил марафон во Франции на четвереньках. Об этом сообщает Sports . Спортсмен занял третье место в забеге. Перед финишной чертой у него отказали ноги, поэтому он был вынужден пересечь ее на четвереньках. Сива участвовал в марафоне у озера Анси . Мероприятие проходило с 18 по 19 апреля. Ранее в Китае задумались о допуске российских легкоатлетов на свои соревнования. Всероссийская федерация легкой атлетики, в свою очередь, обозначила заинтересованность в приглашении китайских спортсменов на турниры под своей эгидой.",sport,https://lenta.ru/news/2026/04/21/keniyskiy-begun-zavershil-marafon-na-chetverenkah/
Зара возмутилась увольнением звезды «Ворониных» из-за возраста,"Российская певица Зара (настоящее имя — Зарифа Мгоян ) поддержала актрису Екатерину Волкову , уволенную из Театра комедии из-за возраста. Ее комментарий приводит «Абзац». Певица возмутилась причиной увольнения Волковой и заявила, что такие вещи нельзя озвучивать, когда речь идет о женщине. Зара отметила красоту актрисы и напомнила, что некоторые режиссеры жалуются на отсутствие возрастных артисток с натуральными лицами. «Все подтянутые какие-то, переделанные. И снимать некого», — пояснила она. «44 года, сейчас это тоже молодежь! Уже прожито столько эмоций, она столько всего может дать зрителю, сыграть», — добавила Зара. Ранее 44-летняя Волкова, наиболее известная по сериалу «Воронины», сообщила , что ее уволили из Театра комедии из-за возраста. По словам актрисы, художественный руководитель добавил, что в репертуаре больше нет ролей для нее.",culture,https://lenta.ru/news/2026/04/21/zara-vozmutilas-uvolneniem-zvezdy-voroninyh-iz-za-vozrasta/
Сыгравший Сильвестра Андреевича актер «Универа» стал инфоцыганом,"Российский актер Алексей Климушкин , известный по роли Сильвестра Андреевича в сериале «Универ», запустил курсы по самопознанию. Об этом сообщает Telegram -канал Mash. По данным издания, после отъезда из страны из-за начала специальной военной операции (СВО) актер долго скитался по разным странам, пока не добрался до столицы Чехии Праги , где занялся так называемой кинотерапией — прокачкой людей через раскрытие самопознания и творческие практики. Отметим, что в России псевдоэкспертов, которые зарабатывают на продаже информационных продуктов сомнительного качества, называют инфоцыганами. Сообщается, что Климушкин берет с клиентов по 32 тысячи рублей за занятие в группе и 48 тысяч — за индивидуальное. Бывший российский актер называет себя эмигрантом с кочевым образом жизни и рассказывает про переезды, рефлексию, депрессию, а также о том, что отшельничество привело его к путеводным звездам. Ранее в Москве осудили актера Артура Смольянинова (признан в России иноагентом) по делу о фейках.",culture,https://lenta.ru/news/2026/04/19/sygravshiy-silvestra-andreevicha-akter-univera-stal-infotsyganom/
Армия США допустила дозаправку конвертопланов MV-75 от БПЛА,"Армия США изучает возможность воздушной дозаправки конвертопланов MV-75 Cheyenne II, которые должны прийти на смену вертолетам H-60 ​​Black Hawk, от беспилотных летательных аппаратов (БПЛА) — воздушных танкеров MQ-25 Stingray. Об этом пишет TWZ. По данным издания, одно из подразделений армии США уже получило специальную версию MV-75 Cheyenne II с возможностью воздушной дозаправки. Портал со ссылкой на генерал-майора армии Клэр Гилла отмечает, что использование БПЛА-дозаправщика позволит существенно увеличить дальность полета новых конвертопланов. Ранее портал сообщил , что новейший конвертоплан армии США MV-75, который в перспективе заменит вертолет UH-60 Black Hawk, получил официальное название Cheyenne II. В январе издание Defense News заметило , что армия США получит новые конвертопланы Bell MV-75, которые разрабатывали под обозначением V-280 Valor, в 2026 году.",science,https://lenta.ru/news/2026/04/20/armiya-ssha-dopustila-dozapravku-konvertoplanov-mv-75-ot-bpla/
Антивирус Windows сломался,"Встроенный в Windows антивирус в некоторых случаях начал перезаписывать вредоносное программное обеспечение (ПО) вместо того, чтобы удалить его. Об этом сообщает издание PCWorld. На проблему обратил внимание исследователь безопасности Chaotic Eclipse. Он выяснил, что в «Защитнике Windows» (Windows Defender) — встроенном в операционную систему (ОС) антивирусе — есть уязвимость, позволяющая вредоносным программам обходить протоколы безопасности. Из-за этого вирусы могут навредить компьютеру. Специалист дал уязвимости название RedSun. «Когда Windows Defender обнаруживает, что вредоносный файл имеет метку ""облако"", по какой-то глупой и забавной причине он решает, что будет хорошей идеей перезаписать найденный файл в его исходное местоположение», — возмутился специалист. Эксперт призвал Microsoft немедленно исправить ошибку, чтобы она перестала терроризировать пользователей. Chaotic Eclipse заметил, что не знает, используется ли эта уязвимость хакерами. Однако он заметил, что проблема существует в Windows 10, 11 и серверных версиях системы. Специалист подытожил, что при обнаружении вредоносной программы «Защитник Windows» должен моментально ликвидировать ее, а не пересохранять на диске компьютера. В середине апреля Microsoft признала ошибку своего обновления Windows, которое может включить на компьютере режим восстановления BitLocker. Для отмены восстановления и разблокировки компьютера может потребоваться ввести уникальный код.",science,https://lenta.ru/news/2026/04/20/not-protect/
Проблемы США с Ираном связали с пренебрежением системами ПВО ближнего действия,"Проблемы США с эффективным отражением атак Ирана на американские объекты на Ближнем Востоке во многом связаны с пренебрежением системами противовоздушной обороны (ПВО) ближнего действия. Об этом изданию Breaking Defense (BD) рассказал военный эксперт Том Карако. «Граница между противовоздушной обороной и так называемой противоракетной обороной несколько размыта, и эта размытость только усиливается. Все сводится к высоте поражения и к тому, против каких угроз оптимизированы конкретные перехватчики», — считает аналитик. По его словам, «проблема, по-видимому, связана с беспилотниками». «Это потому, что, учитывая все обстоятельства, мы долгое время игнорировали проблему противовоздушной обороны. Мы воспринимали превосходство в воздухе как нечто само собой разумеющееся. Мы пренебрегали системами ПВО ближнего действия. Мы игнорировали все эти вещи, потому что воспринимали превосходство в воздухе как нечто само собой разумеющееся», — заметил эксперт. Карако добавил, что сама по себе задача уничтожения беспилотников не представляется сложной, в отличие от проблемы своевременного обнаружения угрозы. «Само уничтожение — не самая сложная задача. Сложнее датчики, а значит, и классификация угроз. Когда эти штуки появляются на горизонте, у вас есть лишь короткий промежуток времени, чтобы их уничтожить», — сказал аналитик. Ранее Telegram-канал «Военная хроника» обратил внимание на то, что появились спутниковые снимки уничтоженной Ираном центральной батареи американской системы MIM-104 Patriot.",science,https://lenta.ru/news/2026/04/21/problemy-ssha-s-iranom-svyazali-s-prenebrezheniem-sistemami-pvo-blizhnego-deystviya/
Темпы закрытия общепита в России ускорились,"По итогам первого квартала 2026 года в России ликвидировано 11,2 тысячи юридических лиц из сферы общественного питания, что на 31,28 процента больше, чем годом ранее. Об этом со ссылкой на данные «Контур.Фокуса» пишет «Коммерсантъ». Число регистраций нового бизнеса выросло на 20,84 процента, до 12,5 тысячи организаций, то есть в абсолютном значении их количество пока еще увеличивается, но гораздо более скромными темпами. Тем не менее вице-президент по обороту алкогольной продукции на предприятиях сферы гостеприимства Федерации рестораторов и отельеров Алексей Небольсин констатирует, что текущие цифры свидетельствуют о значительном спаде в отрасли. В марте, по данным 2ГИС, в российских городах-миллионниках число ресторанов снизилось на пять процентов, заведений быстрого питания — на два процента, столовых — на три процента, кафе — на шесть процентов, а баров — на 11 процентов. Главной причиной такой динамики Небольсин назвал заметное падение посещаемости заведений. Старший аналитик «Риком-Траст» Валерия Попова отметила, что потребители стали выбирать бюджетные заведения и точки быстрого питания, что подтверждает рост количества чеков в них. В свою очередь, источник издания на рынке общепита назвал причиной роста числа регистраций новых юрлиц дробление бизнеса, на которое его владельцам приходится идти после изменения правил уплаты налога на добавленную стоимость (НДС) с 2026 года. Другие представители отрасли подтверждают это предположение, подчеркивая, что у компаний больше нет резона строить сетевой бизнес. Так, основатель сети «Мясо & Рыба» Сергей Миронов уверен, что рестораны будут закрываться весь год, так как бизнес стал нерентабельным. Помимо снижения порога уплаты НДС (с 60 миллионов до 20 миллионов рублей выручки), на него давит рост операционных расходов и дефицит кадров. Начало года для российского ресторанного рынка оказалось самым худшим за последние 25 лет. На этом фоне правительство согласилось до 31 декабря 2026 года не взимать НДС с заведений с выручкой менее 60 миллионов рублей, но в отрасли считают, что такие послабления не слишком помогут.",economics,https://lenta.ru/news/2026/04/21/vzlet/
Глава РУСАДА прокомментировала обвинения WADA в свой адрес,"Глава Российского антидопингового агентства (РУСАДА) Вероника Логинова прокомментировала обвинения Всемирного антидопингового агентства (WADA) в свой адрес. Ее слова приводит ТАСС . «Еще в конце прошлого года агентством был получен некий донос, и WADA было обязано начать расследование. Я сказала, что готова сотрудничать, мне скрывать нечего. Я до сих пор не получила никакого обвинения», — сказала Логинова. Главу РУСАДА обвинили в участии в сокрытии допинг-проб российских спортсменов на зимней Олимпиаде-2014. В свою очередь, та заявила, что не имеет к этому никакого отношения. Данные о причастности Логиновой к сокрытию данных допинг-проб российских спортсменов на Олимпиаде-2014 в Сочи появились в феврале в The New York Times. Впоследствии Логинова опровергла эту информацию и заявила о готовности подать на издание иск о клевете.",sport,https://lenta.ru/news/2026/04/21/glava-rusada-prokommentirovala-obvineniya-wada-v-svoy-adres/
Россиян предупредили об аномальных холодах,"Температура воздуха на 6-8 градусов ниже климатической нормы ожидается на Урале. Об аномальных холодах предупредила жителей сразу нескольких российских регионов ведущий специалист Гидрометцентра Людмила Паршина , пишет РИА Новости . «Днем, например, в Свердловской области, Ханты-Мансийском округе и в Тюменской области около нуля температура, а местами даже и отрицательная, до минус четырех градусов», — рассказала синоптик. Паршина отметила, что именно в эти регионы Урала циклон принесет характерную для зимы погоду. На этой неделе там возможны снег, мокрый снег, сильный ветер, а на дорогах есть риск образования гололедицы. Ранее ведущий специалист центра погоды «Фобос» Михаил Леус спрогнозировал в Москве потепление. Температура воздуха поднимется до комфортных значений в среду, 22 апреля. Однако продержится на таком уровне всего один день.",economics,https://lenta.ru/news/2026/04/21/rossiyan-predupredili-ob-anomalnyh-holodah/
Россиян предупредили о штрафе за ремонт квартиры в обед,"Кандидат юридических наук, доцент кафедры государственно-правовых и уголовно-правовых дисциплин РЭУ им. Г. В. Плеханова Татьяна Лахтина заявила, что жители многоквартирных домов могут получить штраф за проведение шумных ремонтных работ в обеденное время. Ее слова приводит РИА Новости . Лахтина предупредила, что штраф за ремонтные работы в обед может достичь до 80 тысяч рублей. Она напомнила, что в некоторых российских регионах на уровне закона существуют периоды, в которые запрещено нарушать тишину и покой граждан, в том числе при проведении ремонта. В Москве и Московской области этим временем является период с 13:00 до 15:00. «За нарушение тишины и покоя граждан региональным законодательством об административных правонарушениях устанавливается административная ответственность», — отметила эксперт. Ранее россиян предупредили о наказании за стук по батареям по ночам. С таким заявлением выступил член комитета Государственной думы по строительству и ЖКХ Александр Якубовский .",economics,https://lenta.ru/news/2026/04/21/rossiyan-predupredili-o-shtrafe-za-remont-kvartiry-v-obed/
